tune_shift_0.gem, V1=-100, V2=0
tune_shift_0.gem, V1=-90, V2=10
tune_shift_0.gem, V1=-80, V2=20
tune_shift_0.gem, V1=-70, V2=30
tune_shift_0.gem, V1=-60, V2=40
tune_shift_0.gem, V1=-50, V2=50
tune_shift_0.gem, V1=-40, V2=60
tune_shift_0.gem, V1=-30, V2=70
tune_shift_0.gem, V1=-20, V2=80
tune_shift_0.gem, V1=-10, V2=90
tune_shift_10.gem, V1=-100, V2=0
tune_shift_10.gem, V1=-90, V2=10
tune_shift_10.gem, V1=-80, V2=20
tune_shift_10.gem, V1=-70, V2=30
tune_shift_10.gem, V1=-60, V2=40
tune_shift_10.gem, V1=-50, V2=50
tune_shift_10.gem, V1=-40, V2=60
tune_shift_10.gem, V1=-30, V2=70
tune_shift_10.gem, V1=-20, V2=80
tune_shift_10.gem, V1=-10, V2=90
tune_shift_20.gem, V1=-100, V2=0
tune_shift_20.gem, V1=-90, V2=10
tune_shift_20.gem, V1=-80, V2=20
tune_shift_20.gem, V1=-70, V2=30
tune_shift_20.gem, V1=-60, V2=40
tune_shift_20.gem, V1=-50, V2=50
tune_shift_20.gem, V1=-40, V2=60
tune_shift_20.gem, V1=-30, V2=70
tune_shift_20.gem, V1=-20, V2=80
tune_shift_20.gem, V1=-10, V2=90
